id,title,ICD9,ICD10
46253,Fever,['780.6'],"['R50', 'r50']"
46262,Nightmare,[],['F51']
46966,Sleep disorder,"['307.4', '327', '780.5']","['F51', 'f50', 'G47', 'g40']"
47588,Neurosis,"['307.4', '327', '780.5']","['F40', 'f40', 'F40', 'f40']"
49611,Menopause,['627.2'],"['N950', 'N80']"
50524,Melanocytic nevus,['216'],"['D22', 'd10']"
50608,Parkinsonism,['332'],"['G21', 'G22']"
51303,Cowpox,['051.0'],"['G21', 'G22']"
51803,Azotemia,['790.6'],"['R798', 'r70']"
52316,Mood disorder,['296'],"['F30', 'f30', 'F39', 'f30']"
52789,Androgen insensitivity syndrome,['259.5'],"['E345', 'e20']"
52952,Adrenoleukodystrophy,"['330.0', '277.8']","['E713', 'e70']"
53142,Fragile X syndrome,['759.8'],"['Q992', 'q90']"
53338,Cervical cancer,['180'],"['C53', 'c51']"
54309,Ectopic pregnancy,['633'],"['O00', 'o00']"
54426,Factitious disorder imposed on self,['301.5'],['F681']
54439,Metabolic syndrome,['277.7'],['F681']
54448,Insulin resistance,['277.7'],['F681']
54712,Abdominal obesity,['278'],['F681']
54996,Prader–Willi syndrome,['759.8'],"['Q871', 'q80']"
55313,Allergy,['995.3'],"['T784', 't66']"
55584,Gout,"['274.0', '274.1', '274.8', '274.9']","['M10', 'm05']"
55922,Prostatitis,['601'],"['N41', 'n40']"
55967,Communication disorder,['315.3'],['F80']
56227,Skin tag,['701.9'],"['L918', 'l80', 'Q828', 'q80']"
56283,Complex regional pain syndrome,"['337.2', '337.2', '354.4', '355.7']","['M890', 'm86', 'G564', 'g50']"
56458,Apraxia,"['438.8', '784.6']","['R482', 'r47']"
56461,Canavan disease,['330.0'],"['E752', 'e70']"
56462,Carpal tunnel syndrome,['354.0'],"['G560', 'g50']"
56464,Joubert syndrome,['742.2'],"['Q043', 'q00']"
56469,Pelizaeus–Merzbacher disease,['330.0'],"['E752', 'e70']"
56476,Rett syndrome,['330.8'],"['F842', 'f80']"
56480,Q fever,['083.0'],"['A78', 'a75']"
56481,Tay–Sachs disease,['330.1'],"['E750', 'e70']"
56526,Diabetic ketoacidosis,['250.1'],"['E101', 'e10', 'E121', 'e10', 'E131', 'e10', 'E141', 'e10']"
56531,Retinopathy,"['362.0', '362.2']","['H35', 'h30', 'H352', 'h30']"
56533,Diabetic retinopathy,['250.5'],"['H36', 'h30', 'E103', 'e10', 'E113', 'e10', 'E123', 'e10', 'E133', 'e10', 'E143', 'e10']"
56552,Jet lag,"['307.4', '780.5', '327.3']","['H36', 'h30', 'E103', 'e10', 'E113', 'e10', 'E123', 'e10', 'E133', 'e10', 'E143', 'e10']"
56579,Achondroplasia,['756.4'],"['Q774', 'q65']"
56825,Eating disorder,['307.5'],"['F50', 'f50']"
56873,Lactose intolerance,['271.3'],"['E73', 'e70']"
58180,Freckle,['709.0'],['L812']
58637,Erysipelas,['035'],"['A46', 'a30']"
58638,Group A streptococcal infection,['035'],"['B950', 'b95']"
58743,Marburg virus disease,['078.8'],['A983']
59743,Panic attack,['300.0'],"['F410', 'f40']"
60140,Sjögren syndrome,['710.2'],"['M350', 'm30']"
61048,Decompression sickness,['993.3'],"['T703', 't66']"
61750,Gumma (pathology),"['090.5', '094.9', '095', '102.6']","['A523', 'a50', 'A527', 'a50']"
62580,Motion sickness,['994.6'],"['T753', 't66']"
63050,Eosinophilia–myalgia syndrome,['710.5'],"['M358', 'm30']"
63531,Ulcerative colitis,['556'],"['K51', 'k50']"
64976,Attention deficit hyperactivity disorder,"['314.0', '314.0']","['F90', 'f90']"
64993,Skin cancer,"['172', '173']","['C43', 'c43', 'C44', 'c43']"
65344,Sudden infant death syndrome,['798.0'],"['R95', 'r95']"
66790,Specific phobia,['300.2'],['F40']
66811,Seasonal affective disorder,['300.2'],"['F33', 'f33']"
67869,Pontiac fever,['482.8'],"['A481', 'a30', 'A482', 'a30']"
67886,Iliotibial band syndrome,['728.8'],"['M763', 'm70']"
68349,HFE hereditary haemochromatosis,['275.0'],"['E831', 'e70']"
68451,Abetalipoproteinemia,['272.5'],"['E786', 'e78']"
68937,Trichotillomania,['312.3'],"['F633', 'f60']"
70547,Breast cancer,"['174', '175']","['C50', 'c50']"
70802,Decapitation,"['174', '175']","['S18', 's10']"
71635,Cytomegalovirus,['078.5'],"['B25', 'b25']"
75090,Phocomelia,"['755.2', '755.4']","['Q731', 'q65']"
76896,Bornholm disease,['074.1'],"['B330', 'b25']"
77485,Altitude sickness,['E902.0'],"['T702', 't66']"
77538,Perspiration,['E902.0'],"['T702', 't66']"
77668,Scar,['E902.0'],"['T702', 't66']"
78226,Hyperglycemia,['790.2'],"['R739', 'r73']"
78944,Hemoglobinopathy,['282.7'],"['D582', 'd55']"
79995,Sly syndrome,['277.5'],"['E762', 'e70']"
80250,Endemic goitre,['240.9'],"['E010', 'e00', 'E012', 'e00']"
82479,Cholesteatoma,['385.3'],"['H71', 'h65']"
83461,Rocky Mountain spotted fever,['082.0'],"['A770', 'a75']"
83896,Priapism,['082.0'],"['A770', 'a75']"
83947,Trichinosis,['124'],"['B75', 'b65']"
84139,Ketosis,['276.2'],"['B75', 'b65']"
87867,Paranoid schizophrenia,['295.3'],"['F200', 'f20']"
88042,Near-sightedness,['367.1'],"['H521', 'h49']"
88078,Prostate cancer,['185'],"['C61', 'c60']"
88277,Chromosome 15q trisomy,[],"['C61', 'c60']"
88863,Chromosome 15q partial deletion,[],"['C61', 'c60']"
88869,Trichomoniasis,"['131', '007.3']","['A59', 'a50']"
88931,Cataract,['366'],"['H25', 'h25', 'H26', 'h25', 'H28', 'h25', 'Q120', 'q12']"
88983,Prune belly syndrome,['756.7'],"['Q794', 'q65']"
88988,Anosmia,['781.1'],"['R430', 'r40']"
89977,Brachydactyly,"['755.2', '755.4']","['Q681', 'q65']"
90901,Waterhouse–Friderichsen syndrome,['036.3'],"['A391', 'a30', 'E351', 'e20']"
92399,Impetigo,['684'],"['L01', 'l00']"
92962,Lemierre's syndrome,[],"['L01', 'l00']"
93771,Morvan's syndrome,['336.0'],"['G608', 'g60']"
95385,Cenani–Lenz syndactylism,['336.0'],"['G608', 'g60']"
95389,Say–Meyer syndrome,[],"['G608', 'g60']"
95801,Conjoined twins,"['678.1', '759.4']","['O337', 'o30', 'Q894', 'q80']"
99163,Argyria,['985.8'],"['T568', 't51', 'L81', 'L81', '854']"
99277,Neuroleptic malignant syndrome,['333.9'],"['G210', 'g20']"
101604,Hirsutism,['704.1'],"['L680', 'l60']"
101956,Orthostatic hypotension,['458.0'],"['I951', 'i95']"
102959,Substance abuse,['305'],"['F10', 'f10', 'F19', 'f10']"
103558,Vitamin deficiency,"['264', '269']","['F10', 'f10', 'F19', 'f10']"
129139,Periodontal disease,[],"['K054', 'k00']"
138301,Dwarfism,"['253.3', '259.4']","['E230', 'e20', 'E342', 'e20', 'E450', 'e40', 'Q774', 'q65']"
140968,Rotavirus,['008.6'],"['A080', 'a00']"
141029,African trypanosomiasis,['086.5'],"['B56', 'b50']"
144147,Miscarriage,['634'],"['O03', 'O00']"
144837,Chronic pain,['338.2'],"['R521', 'r50', 'R522', 'r50']"
146061,Pili multigemini,[],"['R521', 'r50', 'R522', 'r50']"
146311,Shock (circulatory),['785.5'],"['R57', 'r50']"
146315,Bleeding,['459.0'],"['R58', 'r50']"
146641,Mastocytosis,"['757.3', '202.6']","['Q822', 'q80', 'C962', 'c81']"
146879,Hypothermia,['991.6'],"['T68', 't66']"
147259,Peyronie's disease,['607.8'],"['N486', 'n40']"
148249,Alkaptonuria,['270.2'],"['E702', 'e70', 'E70', '210']"
148422,Brief reactive psychosis,['298.8'],['F239']
149467,Myalgia,['729.1'],"['M791', 'm70']"
149778,General paresis of the insane,"['090.4', '094.1']","['A521', 'a50']"
149980,Intrauterine growth restriction,['764.9'],"['P059', 'p05']"
150374,Self-harm,['764.9'],"['X60', 'X84', 'x60']"
151196,Acute radiation syndrome,['990'],"['T66', 't66']"
151524,Febrile seizure,['780.3'],"['R560', 'r50']"
153807,Back pain,['724.5'],"['M54', 'm50']"
154349,Diabetic coma,"['250.2', '250.3']","['M54', 'm50']"
155056,Dehydration,['276.5'],"['E86', 'e70']"
155131,Bruxism,['306.8'],"['F458', 'f00']"
155623,Brugada syndrome,['746.8'],"['I498', 'i30']"
156668,Ehlers–Danlos syndromes,['756.8'],"['Q796', 'q65', 'Q82', '817']"
156778,Hypochondriasis,['300.7'],"['F452', 'f40']"
157052,Locked-in syndrome,['344.8'],"['G938', 'g40']"
157529,Delirium,['780.0'],"['F05', 'f00']"
158402,Iron deficiency,['780.0'],"['E611', '1999', '2000', '2002', '897']"
159209,Conduct disorder,['312'],"['F91', 'f90']"
159670,Adenosine monophosphate deaminase deficiency type 1,['312'],"['F91', 'f90']"
160125,Mitochondrial disease,['277.8'],"['F91', 'f90']"
160581,Tachycardia,"['427', '785.0']","['I47', 'i30', 'I49', 'i30', 'R000', 'r00']"
160847,Glycogen storage disease type V,['271.0'],"['E740', 'e70']"
160851,Glycogen storage disease,['271.0'],"['E740', 'e70']"
162143,Keloid,['701.4'],"['L910', 'l80']"
163428,Acheiropodia,['701.4'],"['Q748', 'q74']"
166829,Choking,"['784.9', '933.1']","['Q748', 'q74']"
167683,Mittelschmerz,['625.2'],"['N94', 'N00']"
168509,Constipation,['564.0'],"['K590', 'k55']"
168536,Bulimia nervosa,['307.5'],"['F502', 'f50']"
168801,Embolism,['444.9'],"['I74', 'i70', 'I82', 'i80', 'O88', 'o85', 'T790', 't79', 'T791', 't79']"
169498,Alopecia areata,['704.0'],"['L63', 'l60']"
172305,Viral meningitis,['321.2'],['G02']
172323,Rubella,['056'],"['B06', 'b00']"
172327,Congenital rubella syndrome,['771.0'],"['P350', 'p35']"
177127,Balance disorder,['780.4'],"['H81', 'h80', 'R42', 'r40']"
177885,Esotropia,['378.0'],"['H500', 'h49', 'H503', 'h49']"
179400,Urinary incontinence,['788.3'],"['N393', 'n30', 'N394', 'n30', 'R32', 'r30']"
180774,Bowen's disease,"['230', '234']","['N393', 'n30', 'N394', 'n30', 'R32', 'r30']"
181636,Histrionic personality disorder,['301.5'],"['F604', 'f60']"
183048,Thrombosis,"['437.6', '453', '671.5', '671.9']","['I80', 'i80', 'I82', 'i80']"
183058,Thrombus,[],[]
183858,Ventricular fibrillation,['427.4'],"['I490', 'i40']"
183919,Coccidioidomycosis,['114'],"['B38', 'b35']"
185370,Drooling,['527.7'],"['K117', 'k00']"
185373,Agranulocytosis,['288.0'],"['D70', 'd70']"
185450,Esophageal atresia,['750.3'],"['Q390', 'q38', 'Q391', 'q38']"
185617,Chorditis,['478.5'],"['Q390', 'q38', 'Q391', 'q38']"
185621,Vocal cord nodule,['478.5'],"['J382', 'j30']"
185887,Respiratory failure,['518.8'],"['J96', 'j95']"
186367,Myelodysplastic syndrome,['238.7'],"['D46', 'd37']"
186641,Loa loa filariasis,['125.2'],"['B743', 'b65']"
188219,Reinke's edema,['478.6'],"['J384', 'j30']"
188288,Arteriosclerosis,['478.6'],"['I25', 'I25', 'I70']"
188523,Macropsia,['368.1'],"['H53', 'h53']"
188665,Genital wart,['078.1'],"['A630', 'a50']"
189093,Esophageal achalasia,['530.0'],"['K220', 'k20']"
190455,Adducted thumb syndrome,['530.0'],"['K220', 'k20']"
190961,Hyponatremia,['276.1'],"['E871', 'e70']"
191510,Congenital disorder of glycosylation,['271.8'],"['E778', 'e70']"
192184,Pica (disorder),['307.5'],"['F508', 'f50', 'F983', 'f90']"
192413,Polydactyly,['755.0'],"['Q69', 'q65']"
192762,Bladder cancer,['188'],"['C67', 'c64', 'C679', 'c64']"
194278,Aortic stenosis,"['395.0', '396.0', '746.3']","['I350', 'i30', 'I060', 'i05', 'Q230', 'q20']"
194950,Tetraplegia,['344.0'],"['G825', 'g80']"
195201,Paraphimosis,['605'],['N472']
195216,Phimosis,['605'],"['N47', 'n40']"
195508,Tracheomalacia,"['519.1', '748.3']","['Q320', 'q30', 'J398']"
195631,Langer–Giedion syndrome,"['519.1', '748.3']","['Q320', 'q30', 'J398']"
196125,Aplastic anemia,['284'],"['D60', 'd60', 'D61', 'd60']"
196741,Severe acute respiratory syndrome,['079.8'],"['U04', 'u00']"
196950,Esophageal motility disorder,['079.8'],"['U04', 'u00']"
196974,Cough,['786.2'],"['R05', 'r00']"
196998,Barrett's esophagus,['530.8'],"['K227', 'k20']"
197574,Ascites,['789.5'],"['R18', 'r10']"
198188,Hiatal hernia,"['553.3', '750.6']","['K44', 'k40', 'Q401', 'q38']"
199312,Haemophilia A,['286.0'],"['D66', 'd65']"
199559,Haemophilia B,['286.1'],"['D67', 'd65']"
200129,Hair loss,['704.0'],"['L659', 'l60']"
203297,Hydrocephalus,"['331.3', '331.4', '741.0', '742.3']","['G91', 'g90', 'Q03', 'q00']"
206877,Anotia,"['331.3', '331.4', '741.0', '742.3']","['G91', 'g90', 'Q03', 'q00']"
208311,Chorioretinitis,[],[]
208893,Chiari malformation,"['348.4', '741.0']","['Q070', 'q00']"
210559,Fistula,"['348.4', '741.0']","['Q070', 'q00']"
211273,Akathisia,"['781.0', '333.9']","['G211', 'g20', 'D10']"
217947,Premenstrual syndrome,['625.4'],['N94']
219367,Drowning,['994.1'],"['T751', 't66']"
219906,Intracranial aneurysm,['437.3'],"['I671', 'i60']"
219939,Mycoplasma,['041.8'],"['I671', 'i60']"
223208,Pharyngitis,"['462', '472.1']","['J02', 'j00', 'J312', 'j30']"
226748,Stillbirth,"['462', '472.1']","['P95', 'p90']"
227167,Dementia with Lewy bodies,['331.8'],"['G318', 'g30']"
227183,Binswanger's disease,['290.1'],"['I673', 'i60']"
227627,Lewy body dementia,['290.1'],"['G31', 'F02']"
229063,Schizoid personality disorder,['301.2'],"['F601', 'f60']"
229428,Barth syndrome,['759.8'],['E78']
230476,Premature ventricular contraction,['427.6'],"['I493', 'i30']"
231014,Delayed sleep phase disorder,['327.3'],['G47']
231017,Advanced sleep phase disorder,['327.3'],['G47']
231286,Obstetric fistula,['619'],"['N82', 'n80']"
231994,Alcohol abuse,['305.0'],['F101']
232025,Cephalic disorder,"['740', '742']",['F101']
232035,Anencephaly,['740.0'],"['Q000', 'q00']"
232039,Holoprosencephaly,['742.2'],"['Q042', 'q00']"
232046,Hydranencephaly,['742.3'],"['Q043', 'q00']"
232047,Iniencephaly,['740.2'],"['Q002', 'q00']"
232048,Lissencephaly,['742.2'],"['Q043', 'q00']"
232049,Megalencephaly,['742.4'],"['Q045', 'q00']"
232051,Microcephaly,['742.1'],"['Q02', 'q00']"
232052,Porencephaly,"['348.0', '742.4']","['G930', 'g90', 'Q046', 'q00']"
232053,Schizencephaly,['742.4'],"['Q046', 'q00']"
232056,Macrocephaly,['756.0'],"['Q753', 'q65']"
232061,Oxycephaly,['756.0'],"['Q750', 'q65']"
232063,Scaphocephaly,['756.0'],"['Q750', 'q65', 'Q75']"
232921,Severe combined immunodeficiency,['279.2'],"['D810', 'd80', 'D812', 'd80']"
233082,Burn,"['940', '949']","['T20', 't20', 'T31', 't20']"
233389,Möbius syndrome,['352.6'],"['Q870', 'q80']"
233735,Hereditary spastic paraplegia,['334.1'],"['G114', 'g10']"
234185,Compartment syndrome,"['729.7', '958.9']","['M622', 'm60', 'T796', 't79']"
234482,Whiplash (medicine),['847.0'],"['S134', 's10']"
235393,Amenorrhea,['626.0'],"['N910', 'n80', 'N912', 'n80']"
235419,Neutropenia,['288.0'],"['D70', 'd70']"
236300,Morning sickness,['643.0'],['O21']
236306,TAR syndrome,['287.3'],"['Q872', 'q80']"
237242,Adenocarcinoma,"['151.0', '182.0']","['Q872', 'q80']"
237585,Hepatocellular carcinoma,['155'],"['C220', 'C22']"
238124,Disseminated intravascular coagulation,['286.6'],"['D65', 'd65']"
238146,Neutrophilia,['286.6'],"['D65', 'd65']"
238273,Antiphospholipid syndrome,['286.6'],"['D686', 'd65', 'D68', '810']"
238300,Factor V Leiden,['289.8'],"['D686', 'd65', 'D68', '810']"
238806,Eosinophilia,['288.3'],"['D721', 'd70']"
238815,Monocytosis,['288.8'],"['D728', 'd70']"
238850,Lymphocytosis,['288.8'],"['D728', 'd70']"
239890,Cleft lip and cleft palate,['749'],"['Q35', 'q35', 'Q37', 'q35']"
240096,Photokeratitis,['370.2'],"['H161', 'h15']"
240559,Delusional parasitosis,['370.2'],['F22']
240832,Restless legs syndrome,['333.9'],['G258']
242189,Pervasive developmental disorder,['299'],"['F84', 'f80']"
242284,Tetralogy of Fallot,['745.2'],"['Q213', 'q20']"
242702,Monkeypox,['059.0'],"['Q213', 'q20']"
242901,Schizoaffective disorder,['295.7'],"['F25', 'f20']"
243539,Esophageal cancer,['150'],"['C15', 'c15']"
245969,Ulcer (dermatology),['707.0'],"['L88', 'l80', 'L89', 'l80']"
245973,Mouth ulcer,['528.9'],['K12']
246206,Psittacosis,['073'],"['A70', 'a70']"
247435,Hypertensive retinopathy,['362.1'],"['H350', 'h30']"
249357,Sleepwalking,['362.1'],"['F513', 'f51']"
249921,Bunion,['727.1'],"['M201', 'm20']"
249922,Callus,['700'],"['L84', 'l80']"
249924,Cerebrovascular disease,['700'],"['I60', 'i60', 'I69', 'i69']"
249961,Lactic acidosis,['276.2'],"['E872', 'e70']"
249962,Lipodystrophy,['272.6'],"['E881', 'e70']"
249964,Microangiopathy,['443.9'],"['E881', 'e70']"
251047,Delusional disorder,['297.1'],"['F220', 'f20']"
252630,Keratoconus,['371.6'],"['H186', 'h15']"
255490,Lymphogranuloma venereum,['099.1'],"['A55', 'a50']"
256854,Trench fever,['083.1'],"['A790', 'a75']"
258666,Polyuria,['788.4'],"['R35', 'r30']"
258979,Malnutrition,['788.4'],"['E40', 'E46']"
261568,Pityriasis lichenoides et varioliformis acuta,['696.2'],"['L410', 'l40']"
261613,Stomach cancer,['151'],"['C16', 'c15']"
262573,Cardiac tamponade,['423.3'],"['I319', 'i30']"
263244,Ergotism,['988.2'],"['T622', 't51']"
263801,Alien hand syndrome,['781.8'],"['T622', 't51']"
264246,Nephrotic syndrome,['581'],"['N04', 'n00']"
265002,Septo-optic dysplasia,['742.2'],"['Q044', 'q00']"
269032,Methemoglobinemia,['289.7'],"['D74', 'd70']"
270792,Anhedonia,['289.7'],"['D74', 'd70']"
271672,De Quervain syndrome,['727.0'],"['M654', 'm65']"
272537,Stenosing tenosynovitis,"['727.0', '727.0']","['M653', 'm65', 'M654', 'm65']"
272541,Tenosynovitis,['727.0'],"['M65', 'm65']"
272559,Trigger finger,['727.0'],"['M653', 'm65']"
274371,Intersection syndrome,[],[]
274848,Tularemia,['021'],"['A21', 'a20']"
275206,Vaginismus,"['306.5', '625.1']","['F525', 'f50', 'N942', 'n80']"
276560,Orf (disease),['051.2'],"['B080', 'b00', 'B08', '040']"
277088,Pheochromocytoma,"['227.0', '194.0', '255.6']","['D350', 'd10', 'C741', 'c73']"
277098,Multiple endocrine neoplasia,['258.0'],['E3120']
284044,Teratoma,['258.0'],['E3120']
284827,Testicular torsion,['608.2'],"['N44', 'n40']"
285293,Acute necrotizing ulcerative gingivitis,['101'],"['A691', 'a65']"
285729,Thalassemia,['282.4'],"['D56', 'd56']"
286191,Torticollis,['723.5'],"['M436', 'm40']"
286633,Pasteurellosis,['027.2'],"['A280', 'a20']"
287531,Gallstone,['574'],"['K80', 'k80']"
287543,Necrotizing fasciitis,['728.8'],"['M726', 'm70']"
288150,Lipoma,['214'],"['D17', 'd10', 'D17', '910']"
288196,Sarcoma,['214'],"['D17', 'd10', 'D17', '910']"
290448,Kernicterus,"['773.4', '774.7']","['P57', 'p50']"
290842,Obsessive–compulsive personality disorder,['301.4'],"['F605', 'f60']"
291374,Non-gonococcal urethritis,"['099.4', '597']","['N341', 'n30']"
292103,Premature ejaculation,['302.7'],"['F524', 'f50']"
292107,Dyspareunia,['625.0'],"['F526', 'f50', 'N941', 'n80']"
294338,Lead poisoning,['984.9'],"['T560', 't51']"
294533,Nephritis,['984.9'],"['T560', 't51']"
294990,Capgras delusion,['984.9'],"['T560', 't51']"
295047,Legg–Calvé–Perthes disease,['732.1'],"['M911', 'm91']"
300221,Testicular cancer,['186.9'],"['C62', 'c60']"
301920,Roseola,['057.8'],"['B082', 'b00']"
301930,Fifth disease,['057.0'],"['B083', 'b00']"
302454,Mesothelioma,['163'],"['C45', 'c45']"
302755,Acute bronchitis,['466'],"['J20', 'j20', 'J21', 'j20']"
304588,Brain damage,[],[]
307837,Shoulder problem,[],[]
308573,Caroli disease,[],[]
308793,Aneuploidy,['758'],"['Q90', 'q90', 'Q98', 'q90']"
309960,Cryptosporidiosis,['007.4'],"['A072', 'a00']"
310429,Cluster headache,"['339.0', '339.0', '339.0']","['G440', 'g40']"
310757,Alpha 1-antitrypsin deficiency,['273.4'],"['E880', 'e70']"
310898,Croup,['464.4'],"['J050', 'j00']"
311354,Wernicke–Korsakoff syndrome,['294.0'],"['E512', 'e50', 'F106', 'f10']"
311436,Von Willebrand disease,['286.4'],"['D680', 'd65']"
311446,Hirschsprung's disease,['751.3'],"['Q431', 'q38']"
311890,Trigeminal neuralgia,['350.1'],"['G500', 'g50', 'G44', '847']"
314345,Plantar wart,['078.1'],"['G500', 'g50', 'G44', '847']"
314461,Tabes dorsalis,['094.0'],"['A521', 'a50']"
316524,Fructose bisphosphatase deficiency,['094.0'],"['E741', 'e70']"
316759,Hyperprolactinaemia,['253.1'],"['E221', 'e20']"
317082,Urethral stricture,['598'],"['N35', 'n30']"
317453,Tietz syndrome,['598'],"['E703', 'e70', 'E70', '358']"
321263,Birth defect,['598'],"['E703', 'e70', 'E70', '358']"
